date/heure,numéro de versement,type,numéro de la commande,sku,description,quantité,Marketplace,traitement,ville d'où provient la commande,Région d'où provient la commande,code postal de la commande,Modèle de perception des taxes,ventes de produits,Taxes sur la vente des produits,crédits d'expédition,taxe sur les crédits d’expédition,crédits sur l'emballage cadeau,Taxes sur les crédits cadeaux,Rabais promotionnels,Taxes sur les remises promotionnelles,Taxes retenues sur le site de vente,frais de vente,Frais Expédié par Amazon,autres frais de transaction,autre,total
2 nov. 2021 04:52:30 UTC,16522809282,Commande,405-3193788-6107501,S&L_FBA-TMI 1190_Fancy _Gold_Scissor,Ciseaux à Broder. Ciseaux à professionnel Coudre pour Petit Grue. Acier Inoxydable. mini Style Vintage.pour Broderie. Aiguille. Couture. Bricolages,1,amazon.fr,Amazon,CHENOVE,,21300,MarketplaceFacilitator,4.99,1,0,0,0,0,0,0,-1,-0.49,-1.44,0,0,3.06
2 nov. 2021 06:35:37 UTC,16522809282,Commande,406-7299169-3063540,FBA-6x49_ClearPebbles:ARS04TP-2xpacks,ARSUK Lot de 1 kg de galets ronds pour décoration de table. claire,1,amazon.fr,Amazon,PARIS,,75019,MarketplaceFacilitator,9.52,1.91,0,0,0,0,0,0,-1.91,-1.77,-5.85,0,0,1.9
2 nov. 2021 06:37:02 UTC,16522809282,Commande,403-2369351-3848308,FBA_Electric_peeler_White-B9xPP,ARSUK Multifonction Électrique Éplucheur Automatique Tournant Pomme Patate Peeling Machine Légume Coupeur Peeling Outil (Blanc),1,amazon.fr,Amazon,Egliseneuve des liards,,63490,MarketplaceFacilitator,19.99,4,0,0,0,0,0,0,-4,-3.71,-5.62,0,0,10.66
2 nov. 2021 06:37:09 UTC,16522809282,Commande,171-2926563-0670763,FBA_Electric_peeler_White-B9xPP,ARSUK Multifonction Électrique Éplucheur Automatique Tournant Pomme Patate Peeling Machine Légume Coupeur Peeling Outil (Blanc),1,amazon.fr,Amazon,Noth,,23300,MarketplaceFacilitator,19.99,4,0,0,0,0,0,0,-4,-3.71,-5.62,0,0,10.66
2 nov. 2021 06:38:15 UTC,16522809282,Commande,406-1621775-4290745,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK balai vaporisateur d'eau Pulvérisation Nettoyant Sol Carrelage en marbre de cuisine 600 ml Micro Fibre,1,amazon.fr,Amazon,PARIS,,75020,MarketplaceFacilitator,14.66,2.93,0,0,0,0,0,0,-2.93,-2.72,-5.85,0,0,6.09
2 nov. 2021 06:40:30 UTC,16522809282,Commande,404-1429019-7344307,Fba_Bxpp_ColourMarbels_100pcs,ARSUK Marbles 100 X Classique Rétro Verre Coloré Enfants Jouets Party Bag Fillers Staffers,1,amazon.fr,Amazon,Paris,Fr,75009,MarketplaceFacilitator,10.48,2.1,0,0,0,0,0,0,-2.1,-1.94,-4.08,0,0,4.46
2 nov. 2021 07:46:00 UTC,16522809282,Commande,404-2760172-8709944,FBA_A0_Code:ARS-TG03-BK-Target-stand-lon,ARSUK d'Airsoft Supports de Cible métallique. Porte-Cible Entonnoir. récupérateur de BB balles avec 50 Cibles Papiers 14 * 14cm,1,amazon.fr,Amazon,arbois,,39600,MarketplaceFacilitator,16.67,3.33,0,0,0,0,0,0,-3.33,-3.09,-5.85,0,0,7.73
2 nov. 2021 07:48:36 UTC,16522809282,Commande,407-1095138-4275540,FBA_A0_Code:ARS-TG03-BK-Target-stand-lon,ARSUK d'Airsoft Supports de Cible métallique. Porte-Cible Entonnoir. récupérateur de BB balles avec 50 Cibles Papiers 14 * 14cm,1,amazon.fr,Amazon,Marsanne,,26740,MarketplaceFacilitator,16.67,3.33,0,0,0,0,0,0,-3.33,-3.09,-5.85,0,0,7.73
2 nov. 2021 07:56:39 UTC,16522809282,Commande,407-0788627-2115543,FBA_apple_peeler_red_70099,ARSUK 3 en 1 Apple Éplucheur trancheuse Dicer Fruit Pomme de cuisine de pommes de terre évider machine Cutter (Rouge),1,amazon.fr,Amazon,Montmerle Sur Saone,,1090,MarketplaceFacilitator,13.66,2.73,0,0,0,0,0,0,-2.73,-2.53,-5.62,0,0,5.51
2 nov. 2021 07:59:16 UTC,16522809282,Commande,407-4726345-8640356,FBA_Dxpp_100psc_ColourMarbles,ARSUK Le marbre en Verre coloré &#x153;il de Chat Fonctionne. livré dans Un Sac. Protection Contre Les dommages. Jouets de Sport et Jeux de Plein ai,1,amazon.fr,Amazon,VILLOTTE SUR AIRE,,55260,MarketplaceFacilitator,8.32,1.67,0,0,0,0,0,0,-1.67,-1.54,-4.08,0,0,2.7
